Date,EmployedWomen
7/1/1990,41858
8/1/1990,42000
9/1/1990,42037
10/1/1990,42056
11/1/1990,42195
12/1/1990,42296
1/1/1991,41408
2/1/1991,41308
3/1/1991,41391
4/1/1991,41451
5/1/1991,41624
6/1/1991,41879
7/1/1991,41695
8/1/1991,41864
9/1/1991,41930
10/1/1991,41971
11/1/1991,42096
12/1/1991,42243
1/1/1992,41352
2/1/1992,41347
3/1/1992,41469
4/1/1992,41721
5/1/1992,41954
6/1/1992,42213
7/1/1992,42097
8/1/1992,42197
9/1/1992,42276
10/1/1992,42412
11/1/1992,42563
12/1/1992,42742
1/1/1993,41942
2/1/1993,42049
3/1/1993,42164
4/1/1993,42486
5/1/1993,42762
6/1/1993,43068
7/1/1993,43021
8/1/1993,43160
9/1/1993,43286
10/1/1993,43465
11/1/1993,43683
12/1/1993,43926
1/1/1994,43039
2/1/1994,43149
3/1/1994,43468
4/1/1994,43811
5/1/1994,44094
6/1/1994,44486
7/1/1994,44429
8/1/1994,44660
9/1/1994,44806
10/1/1994,44967
11/1/1994,45281
12/1/1994,45520
1/1/1995,44639
2/1/1995,44772
3/1/1995,44968
4/1/1995,45210
5/1/1995,45452
6/1/1995,45814
7/1/1995,45632
8/1/1995,45845
9/1/1995,45964
10/1/1995,46084
11/1/1995,46312
12/1/1995,46468
1/1/1996,45409
2/1/1996,45651
3/1/1996,45898
4/1/1996,46136
5/1/1996,46517
6/1/1996,46862
7/1/1996,46791
8/1/1996,46990
9/1/1996,47051
10/1/1996,47308
11/1/1996,47619
12/1/1996,47803
1/1/1997,46817
2/1/1997,46988
3/1/1997,47274
4/1/1997,47583
5/1/1997,47933
6/1/1997,48258
7/1/1997,48180
8/1/1997,48301
9/1/1997,48423
10/1/1997,48705
11/1/1997,48965
12/1/1997,49198
1/1/1998,48172
2/1/1998,48332
3/1/1998,48567
4/1/1998,48842
5/1/1998,49196
6/1/1998,49534
7/1/1998,49454
8/1/1998,49579
9/1/1998,49656
10/1/1998,49882
11/1/1998,50127
12/1/1998,50363
1/1/1999,49337
2/1/1999,49573
