Slno,MF,Age,ProfessionBusiness,UrbanRural,RecipientOperator,SI,SwBh,Servqual,Sat,PSB,ESB,OSB,Price,SInt
376,Female,39,Unemployed,Rural,Vodafone,4,0,5.56281772,4.608247423,5.019787645,3.906309751,4.860177675,4.615076183,2.409054805
377,Male,40,Farmer,Rural,Tata Docomo,4,0,4.842249657,4.37757732,5,3.906309751,4.884125145,4.637530072,3
378,Male,21,Employee,Urban,Tata Docomo,5,0,4.842249657,4.37757732,5.156370656,2.139101338,5.129393588,4.444266239,3.818109611
379,Male,30,Farmer,Rural,Vodafone,5,0,4.762769305,4.307989691,2.935810811,4.628107075,4.883738895,4.633520449,2.409054805
380,Male,41,Govt Employee,Rural,Idea,5,0,4.954813201,3.826030928,4.667471042,5.476577438,4.726921591,4.833199679,3.818109611
381,Male,38,Employee,Rural,Tata Docomo,5,0,5.288065844,3.699742268,5,2.290630975,4.857860178,3.664795509,3.818109611
382,Male,34,Employee,Rural,Videocon,4,1,5.288065844,3.307989691,2.799227799,2.476577438,4.833912708,3.833199679,2.590945195
383,Female,35,Unemployed,Rural,Tata Docomo,4,0,5.621318486,4.020618557,4,4.628107075,4.638470452,4.615076183,3
384,Male,22,Student,Rural,Vodafone,4,0,5.621318486,3.987113402,5.019787645,3.720363289,4.638470452,3.833199679,3
385,Male,38,Employee,Rural,Vodafone,5,0,5.73388203,3.987113402,5,3.767208413,4.859791425,4.42181235,2
386,Male,39,Employee,Rural,Tata Docomo,5,0,5.925925926,4.434278351,3.977799228,3.906309751,4.705291618,4.440256616,2.409054805
387,Male,38,Farmer,Rural,Vodafone,4,0,6.117969822,4.434278351,2,2.139101338,5.066821166,3.862068966,2.590945195
388,Male,29,Unemployed,Rural,Vodafone,4,0,6.33865892,4.307989691,2.488899614,4.628107075,5.064503669,4.051323176,3
389,Female,26,Unemployed,Rural,Vodafone,4,0,6.005406278,4.538659794,3.312741313,5.476577438,4.522209347,4.639935846,3
390,Male,28,Employee,Rural,Vodafone,5,0,6.226095376,4.643041237,4.022200772,3.767208413,4.638470452,4.244587009,2.409054805
391,Male,25,Employee,Rural,Idea,5,0,6.034051481,4.699742268,2.64527027,4.628107075,4.621475473,4.032878909,3.818109611
392,Male,25,Employee,Rural,Idea,5,0,5.700798838,2.161082474,2.667471042,3.720363289,4.621475473,4.222133119,3.818109611
393,Male,24,Employee,Urban,Airtel,3,0,5.896070362,4.608247423,2.64527027,3.767208413,4.081498648,4.639935846,3.181890389
394,Male,55,Farmer,Rural,Idea,2,0,5.508754942,4.37757732,2.801640927,3.906309751,4.262263422,4.244587009,3.772835584
395,Male,28,Employee,Rural,Idea,5,0,5.842007585,4.25128866,3.312741313,2.139101338,4.730784087,3.833199679,2.409054805
396,Male,40,Employee,Rural,Tata Docomo,3,0,6.197450173,4.307989691,4.687258687,4.628107075,5.171494786,4.222133119,2.590945195
397,Male,23,Student,Rural,Airtel,3,0,6.389494069,3.952319588,2.64527027,5.476577438,5.37582078,4.639935846,4.181890389
398,Male,35,Govt Employee,Urban,Vodafone,3,0,6.530702816,3.826030928,3.178571429,3.767208413,4.612205485,4.639935846,3.772835584
399,Female,21,Student,Urban,IDEA,2,0,6.530702816,3.307989691,2.64527027,3.906309751,4.235998455,4.615076183,4.363780778
400,Male,38,Farmer,Rural,Airtel,2,0,6.016299524,4.020618557,2.801640927,2.139101338,4.276940904,4.639935846,3.954725973
401,Male,52,Govt Employee,Rural,Vodafone,4,1,6.59565884,4.307989691,3.446911197,4.628107075,4.457705678,4.42181235,2.590945195
402,Male,32,Business,Urban,Airtel,4,0,6.59565884,4.699742268,4.156370656,5.476577438,4.276940904,4.444266239,2.590945195
403,Male,36,Farmer,Rural,Vodafone,5,0,6.816347938,4.538659794,5,4.814053537,4.457705678,4.032878909,2.409054805
404,Male,21,Employee,Rural,Airtel,5,0,6.429032518,4.307989691,2.134169884,3.720363289,4.081498648,4.833199679,2
405,Male,21,Student,Rural,Airtel,5,0,6.048172355,4.181701031,3.667471042,2,4.262263422,4.42181235,2.409054805
406,Male,19,Student,Rural,Vodafone,4,0,5.842007585,4.412371134,5.019787645,4.628107075,4.638470452,4.440256616,2.590945195
407,Female,32,Unemployed,Rural,Idea,4,0,6.418139272,4.25128866,5,4.243785851,3.326767092,4.222133119,3
408,Male,36,Employee,Urban,IDEA,4,0,5.864197531,4.481958763,3.977799228,2.662523901,3.767477791,4.833199679,3
409,Male,40,Farmer,Rural,Idea,5,0,6.197450173,3.448453608,3.153957529,3.489005736,3.793742758,4.222133119,2.409054805
410,Male,45,Farmer,Rural,IDEA,5,0,5.864197531,4.469072165,5.332528958,2.337476099,3.950946311,4.053728949,3.818109611
